Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,HCRXJ02.05P0,midsize car,6,24,33,27,6,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HCRXV02.95P0,midsize car,6,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HCRXV02.95P0,midsize car,6,17,24,20,4,No,451
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,HCRXJ02.05P0,midsize car,6,23,31,26,6,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,HCRXJ02.05P0,midsize car,6,23,31,26,6,No,348
ASTON MARTIN Rapide S,6,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HASXV06.0VHB,small car,6,14,21,17,3,No,533
ASTON MARTIN Rapide S,6,12,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,HASXV06.0VHB,small car,6,14,21,17,3,No,533
ASTON MARTIN V12 Vantage S,6,12,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HASXV06.0VHB,small car,6,12,18,14,1,No,624
ASTON MARTIN V12 Vantage S,6,12,AutoMan-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,HASXV06.0VHB,small car,6,12,18,14,1,No,624
ASTON MARTIN V12 Vantage S,6,12,Man-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HASXV06.0VHB,small car,6,10,16,12,1,No,724
ASTON MARTIN V12 Vantage S,6,12,Man-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,HASXV06.0VHB,small car,6,10,16,12,1,No,724
"ASTON MARTIN Vanquish, S and Zagato",6,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HASXV06.0VHB,small car,6,13,21,16,2,No,555
"ASTON MARTIN Vanquish, S and Zagato",6,12,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,HASXV06.0VHB,small car,6,13,21,16,2,No,555
AUDI A3,2,4,AMS-6,4WD,Gasoline,CA,PZEV,California PZEV,HVGAV02.0APA,small car,9,24,31,27,6,No,330
AUDI A3,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HVGAV02.0APA,small car,8,24,31,27,6,No,330
AUDI A3,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,HVGAV02.0A3A,small car,8,26,35,29,7,Yes,303
AUDI A3,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HVGAV02.0A3A,small car,8,26,35,29,7,Yes,303
AUDI A3 Cabriolet,2,4,AMS-6,4WD,Gasoline,CA,PZEV,California PZEV,HVGAV02.0APA,small car,9,22,30,25,5,No,359
AUDI A3 Cabriolet,2,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HVGAV02.0APA,small car,8,22,30,25,5,No,359
AUDI A3 Cabriolet,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,HVGAV02.0A3A,small car,8,25,34,28,6,No,316
AUDI A3 Cabriolet,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HVGAV02.0A3A,small car,8,25,34,28,6,No,316
AUDI A3 e-tron,1.4,4,AMS-6,2WD,Gasoline/Electricity,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,HVGAV01.4V3B,small car,9,33/81,36/86,34/83,10,Elite,158
AUDI A3 e-tron,1.4,4,AMS-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,HVGAV01.4V3B,small car,8,33/81,36/86,34/83,10,Yes,158
AUDI A4,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAJ02.0AAC,small car,6,25,33,28,6,No,315
AUDI A4,2,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AAC,small car,6,25,33,28,6,No,315
AUDI A4,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAJ02.0AAC,small car,6,24,31,27,6,No,330
AUDI A4,2,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AAC,small car,6,24,31,27,6,No,330
AUDI A4,2,4,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAJ02.0AAC,small car,6,24,33,27,6,No,329
AUDI A4,2,4,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AAC,small car,6,24,33,27,6,No,329
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAJ02.0AAC,small car,6,27,37,31,7,Yes,284
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AAC,small car,6,27,37,31,7,Yes,284
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAJ02.0AAC,station wagon,6,23,28,25,5,No,349
