Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,RHNXV01.54EC,large car,7,30,37,33,6,No,269
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,RHNXV01.54EC,large car,7,30,37,33,6,No,269
ACURA Integra,2,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,RHNXV02.0TDC,large car,6,21,28,24,5,No,371
ACURA Integra,2,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,RHNXV02.0TDC,large car,6,21,28,24,5,No,371
ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,RHNXV01.55DC,large car,6,26,36,30,6,No,293
ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,RHNXV01.55DC,large car,6,26,36,30,6,No,293
ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,RHNXV01.54EC,large car,7,29,36,32,6,No,277
ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,RHNXV01.54EC,large car,7,29,36,32,6,No,277
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,RHNXT02.0VVC,small SUV,6,21,27,23,5,No,385
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,RHNXT02.0VVC,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,RHNXT02.0WVC,small SUV,6,21,26,23,5,No,386
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,RHNXT02.0WVC,small SUV,6,21,26,23,5,No,386
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RCRXJ02.05P2,midsize car,5,24,33,27,5,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RCRXJ02.05P2,midsize car,5,24,33,27,5,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,RCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,RCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RCRXJ02.05P2,small SUV,5,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RCRXJ02.05P2,small SUV,5,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,RCRXJ02.95P0,small SUV,3,17,23,19,4,No,463
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,RCRXJ02.95P0,small SUV,3,17,23,19,4,No,463
ALFA ROMEO Tonale eAWD,1.3,4,Auto-6,4WD,Gasoline/Electricity,CA,L3ULEV50,California LEV-III ULEV50,RCRXV01.35PH,small SUV,6,29/77,29/77,29/77,9,No,120
ALFA ROMEO Tonale eAWD,1.3,4,Auto-6,4WD,Gasoline/Electricity,FA,T3B50,Federal Tier 3 Bin 50,RCRXV01.35PH,small SUV,6,29/77,29/77,29/77,9,No,120
AUDI A3,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,RVGAV02.0A3B,small car,7,29,37,32,6,No,279
AUDI A3,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,RVGAV02.0A3B,small car,7,29,37,32,6,No,279
AUDI A3,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,RVGAV02.0A3B,small car,7,27,34,30,6,No,299
AUDI A3,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,RVGAV02.0A3B,small car,7,27,34,30,6,No,299
AUDI A4,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7E,small car,5,26,35,30,6,No,300
AUDI A4,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7E,small car,5,26,35,30,6,No,300
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,small car,5,24,32,27,5,No,330
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,small car,5,24,32,27,5,No,330
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,station wagon,5,23,30,26,5,No,346
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,station wagon,5,23,30,26,5,No,346
AUDI A5,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,small car,5,24,32,27,5,No,330
AUDI A5,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,small car,5,24,32,27,5,No,330
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,small car,5,24,33,27,5,No,324
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,small car,5,24,33,27,5,No,324
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,midsize car,5,24,32,27,5,No,330
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,midsize car,5,24,32,27,5,No,330
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7E,midsize car,5,26,35,30,6,No,300
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7E,midsize car,5,26,35,30,6,No,300
AUDI A6,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,midsize car,5,23,33,26,5,No,337
AUDI A6,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,midsize car,5,23,33,26,5,No,337
AUDI A6,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ03.0N7N,midsize car,5,22,30,25,5,No,359
AUDI A6,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ03.0N7N,midsize car,5,22,30,25,5,No,359
AUDI A6 allroad quattro,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ03.0N7N,station wagon,5,22,30,25,5,No,359
AUDI A6 allroad quattro,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ03.0N7N,station wagon,5,22,30,25,5,No,359
AUDI A7,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ03.0N7N,midsize car,5,22,30,25,5,No,359
AUDI A7,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ03.0N7N,midsize car,5,22,30,25,5,No,359
AUDI A8 quattro,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ03.0N7M,large car,5,19,28,22,5,No,400
AUDI A8 quattro,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ03.0N7M,large car,5,19,28,22,5,No,400
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,RVGAT02.0A5T,small SUV,6,22,29,25,5,No,360
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,RVGAT02.0A5T,small SUV,6,22,29,25,5,No,360
AUDI Q3 S line quattro,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,RVGAT02.0A3T,small SUV,7,20,28,23,5,No,384
AUDI Q3 S line quattro,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,RVGAT02.0A3T,small SUV,7,20,28,23,5,No,384
AUDI Q4 40 e-tron,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAV00.0NZ4,standard SUV,10,30,36,33,10,Elite,0
AUDI Q4 40 e-tron,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,RVGAV00.0NZ4,standard SUV,10,30,36,33,10,Elite,0
AUDI Q4 50 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAJ00.0NZ5,standard SUV,10,97,87,93,10,Elite,0
AUDI Q4 50 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,RVGAJ00.0NZ5,standard SUV,10,97,87,93,10,Elite,0
AUDI Q4 Sportback 50 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAJ00.0NZ5,standard SUV,10,100,89,95,10,Elite,0
AUDI Q4 Sportback 50 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,RVGAJ00.0NZ5,standard SUV,10,100,89,95,10,Elite,0
AUDI Q5 Plug-In Hybrid quattro,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,RVGAT02.0A3P,small SUV,7,25/55,27/61,26/58,9,Yes,149
AUDI Q5 Plug-In Hybrid quattro,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,RVGAT02.0A3P,small SUV,7,25/55,27/61,26/58,9,Yes,149
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,small SUV,5,22,28,24,5,No,366
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,small SUV,5,22,28,24,5,No,366
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7G,small SUV,5,22,28,24,5,No,366
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7G,small SUV,5,22,28,24,5,No,366
AUDI Q5 quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,RVGAJ02.0A7E,small SUV,5,23,29,26,5,No,346
AUDI Q5 quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,RVGAJ02.0A7E,small SUV,5,23,29,26,5,No,346
